screen_name,description,label
gill_othen,"Escaped English/Drama teacher, perpetual student, ardently pro-Europe. There may be random outbreaks of Early Modern theatre.",
AgnesAyton,"Consultant psychiatrist - eating disorders. Chair of the Eating Disorder Faculty, Treasurer of EPSIG at RCPsych HSL @ University of Oxford",
SusanStallabras,"PhD student with the Human Rights Centre, University of Essex. Researching right to health and social determinants of health using the capability approach.",
JillAshleyJone1,Retired NHS Executive Nurse. Alumni Universities of Bristol/RGU/Oxford Brooke’s /True Blue Chelsea fan Mother of Cats (5BSH)European whatever the Tories do!!,
COWIEKIM,Lecturer in Initial Teacher Training at Newcastle University.  Former school teacher / leader. Views are my own.,
seusssl,"Was mature student in  BA & MA Politics  (Newcastle Uni). EU Rejoiner, Labour, ex teacher, England cricket  and Newc Utd fan. Rescue lurcher owner.",
dianabaurartist,I am a practising Fine Artist with a Masters Degree from Glyndwr University. Please go to https://t.co/zMu0KMCOvM or https://t.co/73AZxnaaSp for more about me.,
rupdavies,3rd Year Student Nurse at @CityUniLondon. Student Information Officer for @theRCN. Dad. Husband. Ex-accountant. Nomad.,below30
ryanjwilson,@WycombeLibDems Youth & Students Executive Officer | Head of Social Media team 🔶,below30
als235,"Studied at the University of Glasgow. Trainee Psychiatrist. Love formula 1, and a proud Remainer! 🇬🇧🇪🇺",below30
WycHighAlumnae,WHS Alumnae are dedicated to maintain fellowship  between students and staff and to continue the school's tradition of service to the community.,
robertashton1,"An outspoken, strongly ethical, somewhat maverick social entrepreneur, author, speaker, MA student & Quaker. Founder of @swarm_tweets & @norwichmustard",
Sparkletutu,"OU student, English Literature & Creative Writing.  
Bollocks to Brexit.
LD Member",
Jseldon2,"Mature student, School of Education, Bristol Uni...",
pollycompston,"Vet, epidemiologist & #PhD student @royalvetcollege researching socioeconomics of #FMD in #Kenya Tweets about #equality #animalwelfare #onehealth #collaboration",
AdaMcVean,"Science Communicator, Masters student, @mtlARN twitter tender, perpetually anxious, vegetarian🐄 Committed to science, social justice & animal rights 🐀 she/her",below30
barry_pettifor,"European. Ocean advocate, marine biology student. Dad, husband, muso & gardener.",31-59
CaroleBriz,Veterinary Surgeon. Programme Manager Veterinary Physiotherapy Harper Adams University. Occasional Endurance rider. All opinions my own.,
MrsWeasley5,"mum, wife, data science student, NHS data analyst, she/her",
DominicFurniss,"Associate Professor of Plastic Surgery, Consultant Hand, Plastic and Reconstructive Surgeon, Oxford University. Avid SUFC fan.",
MCharlesworth19,"Husband, Councillor, Gardener, student of history.",
tishorgan,"Recovering #MECFS er, Liberal, Universal Energy student, watercolour student",
stop1984,"Just one of the 99%, mad as hell, and not going to take it any more.
Defend your NHS, Defend no fees for students, Defend yourself.",
georgiokon,"Enraged feminist, published author, Features editor for @TCSNewspaper, @Cambridge_Uni student, speaker of 🇬🇧, 🇬🇷, 🇫🇷, 🇪🇸 , 🇷🇺 . And breathe.",below30
museumsmithery,"Director of Oxford University Museum of Natural History. Museums, science and organisms - dead or alive. Views are my own.",
dicksonjulie1,Prof of Legal Philosophy @OxfordLawFac & Fellow @SomervilleOx 1st generation uni student. Enjoy photography. Views my own. https://t.co/1v1zvJgeT0,
MrScrabble7,"Dancer, Building Designer, Football Student, Has bewilderment, will travel",below30
KianHearnshaw,"Liberal Democrat, Law Student, Academic and Baker",below30
English_YL,Young and student Liberal Democrats in England. Chair- @Worralljack Join us today! https://t.co/mYi9BKni3A,
GeorgePippas,"Cambridge City Councillor, Liberal Democrat, Former Mayor, Hon. University Fellow",
jaredjeya,"REJOIN 🇬🇧🇪🇺 Social Liberal 🧡 Lib Dem 🔶 but #1 priority is the climate crisis 🌍 Cambridge grad, now a Condensed Matter Physics PhD student at UCL!",
CamUniLiberals,"Association for Liberal Democrats at the University of Cambridge, founded in 1886.",
DrySeer,"European, humanist, and lifelong student of nature, history, economics and politics.",
GraceGrace90,"Retiree,U3A student, volunteer. Into using my time to help others & prove there is life after retirement!",
flowersorcakes,"Mum and post grad student. Loves sunshine, flowers and Psychology #proEU 🔶 2x Breast Cancer now getting on with life",
PaulHulbert,"Lib Dem councillor, community activist. Hands-on conservation volunteer at Wapley Bushes Local Nature Reserve near Yate. Retired university lecturer.",
UWELibDem,Liberal Democrat Society at the University of the West of England. Account run by the committee. RTs not necessarily endorsements.,
quartz_23,"PhD student in climate science. Swimmer. Runner. Very left wing, socially liberal @LibDems member. He / Him. 🏳️‍🌈",below30
Wannowan58,Lib Dem Cllr 🔶for Rustington West. University of Kent Graduate. 🌐🔰🏗,below30
ScottishScouse,"Politics, History and Education student @StirUni. Usually found obsessing over boys. Profile picture courtesy of @nicolehcx and @gothictales",
mattbentham277,PhD Student at UCL Institute of Neurology and Haringey Lib Dem! 🔶,below30
LeicInnovation,Launching Great Ideas #LeicInnovation | University of Leicester,
LeoEvans94,"Lib Dem Councillor for Cambridge Ward, Southport | Alliance member | Used to work for an MP, now work for a University | LFC, F1, Cricket & Golf Fan |",below30
torspedia,"OU student. Linux. Left Libertarian. Unitarian, Universalist. Grey-multisexual, GSRM. See @toranshaw, for my work tweets.",31-59
GavinCullen1,"Nursing lecturer, PhD student researching compassionate mind training, mindfulness teacher & novice gardener",
kelcentro,"Fond of my family, coffee, fashion, cooking, reading, converse, seafood, music. children’s services in derby and student at NTU!",31-59
LecturerMish,"Occupational therapy educator. PhD student, topic- people enabling service improvement. Interests: systems, equality, human rights. Tweets r own personal views.",
DianeYeo5,"Chair, University of Westminster; Chair, ETAT arts charity for lonely and isolated people; , Regent Street Cinema, not for profit consultant,FInstF, FRSA.",
DrJacqueBaxter,"Open University Business school.Director Centre 4 research online learning  @OU_SCiLAB. ED, Sage-@Management in Education .Assoc Prof Public pol. photographer.",
ProfZeki,Professor of Neuroesthetics at University College London,
wrdanks,"Liberal Democrat election agent, proud European, swimmer, skier, keen traveller, sci-fi geek, PhD Linguistics, university administrator 🏳️‍🌈 🔶",
Iddonpaula1,"Teacher. Tutor mentorNQT  
 Erasmus teachers and students.English teacher. / Drama Expressive Arts
Politic lit
https://t.co/APgzqos8B4 ordinator 
EUCitizenship.Eurotom. S",
ChrisBramall,b. London 1942; 30 years in Stourbridge; 3 university degrees; m. to Helen; 3 sons/1 stepdaughter/2 granddaughters/2 grandsons; CofE; WBA; LibDems; #RejoinEU.,over60
asthiggins,Director of Development Imperial War Museums Tolkien Scholar and author w/PhD from Cardiff Metropolitan University. Live in Brighton UK Single,
meicspeak,Ex  Senior Marketing executive with BNFL and University of Salford .Ardent remainer. Liberal Democrat.Onward ever onward !,
Hunor10,Red Lichtie | Scotland-Transylvania | MEarthSci Geology | University of Edinburgh | Student Ambassador | Geoconservation | Liberal |🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧🇪🇺🔶,below30
DannyJDavidson,Economics Student @QueensCam Policy Geek & Radical Fencesitter @CamUniLiberals HS2 Stan Account Plastic Woolyback He/Him,below30
LevEakins,"Christian, British & liberal. Brother, son, and Godfather to an adorable girl. Currently reading a Masters in Theology at University of Manchester.",
barnes_sean,Former OU Student working on supporting an IT system with some data analysis..  Support Liverpool football club.  Enjoy listening to music and gaming,
ApingSpring,FutureLearn student with much to say. Paid office cleaner & unpaid charity volunteer. Experienced craftswoman & carer. Wannabe writer & artist. Has had PTSD.,
john_alistair,"Was a student, now I'm sick and spend a great deal of time in hospital waiting rooms.",
Marathonmiss,"Trustee of parkrun global; Trustee Hospice UK; trustee of Cycling UK, Council member Bath University, trustee MS Society",
gvs368,"Retired from University of Dundee after 42years including it being part of St. Andrews. Specialty, computing and IT in the Medical Environment. Artist.",
IanRobinson,"Writer, walker, secularist, optimist, Apple enthusiast, cinema lover, hobby musician, science junkie, perpetual maths student, cricket fan, chess patzer.",
edofmund,World citizen / US / UK. Teacher. Umpire. Nerd. Catholic. Theology student @YourStMarys. Sec @LDEA_UK. They/them preferred but not fussy.,
truby_sue,"ex OU staff tutor, ex tutor, ex student. Interested in stained glass, silver smithing, bird watching and lizards.",
docsladea,"ITM Research Fellow, Institute for Translational Medicine & Centre Patient Reported Outcomes Research, University of Birmingham",
alexfeakes,"Liberal politics, science, education, arts & film, cricket and other enjoyables. I teach physics and, occasionally, economics. EdD student @ UCLIoE.",31-59
melanie23042000,"PhD, Fine Art/Art History, Newcastle University-thesis on the origins, rationale & role of the Hatton Gallery Collection formed in the 1950s by Lawrence Gowing",
SimonEd86589453,"Uni Student, Avid Wisconsin sports fan! Blogging about all things sports!",
a__cubed,"Deputy Director of the Centre for Business Information Ethics, Meiji University. #FBPE🔶.
SF fan/conrunner.
He/Him.",
JamesBezer,PhD student at @ImperialBioeng,below30
ChrisJAnsell,"Course Director MSc Global Finance at Coventry University London; Visiting Fellow at Cranfeld University. 

All views my own. RT does not imply endorsement",
SamGyimah,"Former Minister for Universities, Science, Research and Innovation. Interests in Tech & Sustainability. Dad. Arsenal fan. Views my own.",
lynda_brady,"PVC (Student Experience), Edge Hill University, Ormskirk Tweets my own/RTs not endorsements",
LCalvoSotelo,"Estudiante de Derecho y Economía en la Universidad Carlos III de Madrid. Ahora, en Université Paris II Panthéon-Assas.",below30
adhorstrebor,WORKINGCLASS psychiatric nurse with special interest in trauma. Scrap bursaryReinstate a living wage for student nurses to save NHS. Ex SNP Pro Brexit#democracy,
Stephen37929091,"Dr Stephen McGhee - All views are my own. Associate Professor & Associate Dean Undergraduate Programs, School of Nursing & Health Studies, University of Miami",
SandraM73559799,"Born Birmingham, UK.
BA History Open University
BSc University of Maine in Augusta

Married to Dale McIntyre",
StephanMashford,"Aberdeen based, student🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇬🇧 Politics, coms, IR, pro-EU Eurosceptic 🇪🇺RT not endorsement, views are own ect.",below30
Maria_9327,"PhD student in the Eswara Lab at the University of South Florida. Studying cell division in Gram Positive bacteria🧫🦠🔬.
 🇬🇧✈️🇺🇸 Politically opinionated",below30
7freedomwriters,Human rights activist - #FreeIran. MSc student at @KingsIoPPN,below30
NathanielMcLa16,"Ambassador, HRH #iWill Campaign, Climate & LGBTQ Activist. Student at Nottingham Academy, Greenwood Campus. Views are my own.",below30
SnijderMajumder,"Lecturer at Regent's American College, RBS/EBS at Regent's University London, StuurmanMarketing68 Consultant. Ethical business is the only business.",
Joe_Gibby,U.K. STEM Awards Winner 2017 - Electronic & Electrical Engineering Student - RAEng Leaders Scholar - Soon the robots will take over.,below30
MichaelBoyes16,Studying a PhD in Cellular and Molecular Physiology at the University of Liverpool. Enjoy long-distance cycling.,below30
thechidg,Final Year Retail Student @bournemouthuni 👨🏻‍🎓 • Wycombe Wanderers ⚽️ fan • RTs = “look at this” not “I agree with this” • Likes ≠ endorsement.,below30
MLEurope,"Academic director, European public policy, Johns Hopkins University, SAIS Europe, and senior fellow German Marshall Fund",
SarahThunder26,"Teesside University Graduate 👩‍🎓, Fanfiction Author (TintinRossi56). Aspiring Writer📘🖊️Currently looking for work",
Eleanor_Harris,"Passionate about tourism, putting visitors first, walking and staying in Europe. Mum to 2 boys. French student. @LibDems member. Views my own.",
SquireKaren,Apprenticeship Mentor Manager for the University of Exeter Business School. Flying the flag for Degree Apprenticeships. All views belong to just me.,
Ionaonie,Former arts student working in a bookshop pretending to do some work,
zoka64620384,Research student UEA Norwich. Proud graduate of both University of Brighton and UWE.,below30
DULibDems,The official page of the Durham University Liberal Democrats. Make sure to follow for updates!,
ChristopherPBr3,"Renew party candidate for Wirral West, Law student, British/ American citizen, working to make our area, our country and our world a better place",
M_Watts86,"Psychology Student, Clio RS owner, Motorsports, NFL.",
ThoroughbredAli,"#FBPE. Regulatory affairs for cell therapies, horse lover, dog person, PhD student. 🇪🇺Pro-EU all the way 🇪🇺.",
adamfrankenberg,"Progressive rabbi, #anevercloserunion #stopthecoup, #epilepsy & #narcolepsy #Keele & #Manchester 4 University #FBPE #rejoin",
RetchinBtchFace,"artist, writer, PhD student researching art practice as: play, horror-philosophy, sf-☭, dogs throughout. they/them, yeehaw vibes.",
GeorgeBrownFFC,"Cardiff University, Liberal Democrats activist, Town councillor for home town of Hedge End,Model United Nations and Sports enthusiast!",
PeteTheRef,"PhD Student, Sport cyclist and Sport Psychology Consultant. My Tweets are my opinions based solely on my current grasp of matters.",
Emmingott,"Liberal politics, queer identity 🏳️‍🌈, pro wrestling. With a mix of my weight loss, Mental Health and my Open University degree about sums up the content.",
BadWolf153,"Geophysics student, @YoungLiberalsUK Carers' Representative, former President of @EdinburghWhoSoc, @eusa's first Carers' Representative. She/her, views my own.",below30
SharonDavidson1,"Assistant Head post 16,Teacher of Biology and Outdoor ed supervisor. Excited by creative, energetic,bright interesting, funny DHSB students & colleagues.",31-59
WilliamHDavies,"Disciple, husband, father, dancer, musician, scientist and sports fan. Currently working at the dept of Meteorology, University of Reading",
dugtremellen,"Trainee planner and MSc student of place-making and mobility. Proud godfather, South Londoner and Hufflepuff. Views are my own and retweets are not endorsements",
traceyaj_,"Welsh 🏴󠁧󠁢󠁷󠁬󠁳󠁿, British 🇬🇧, European 🇪🇺, Francophile 🇫🇷 University of Wales alumni.",
DrJennyRose,"Teacher & eternal student. Interests: psychology, languages, travel & health #Euratom #NHSLOVE 
Pursuing: the perfect pair of heels.",31-59
SYLVIASELZER,"In a previous life - head teacher and university lecturer. For many years, Action Transport Theatre's in-house photographer.",
AnsonJack1,"Professor at University of Birmingham. Husband, father, learning to ring bells and play bridge. Tweets are my own",
CJTerry,"Tried to reform the electoral system. Didn't. PhD student @OfficialUoM, originally from Dorset. Elections nerd. Romania-phile.",31-59
LibYouthSoton,Working with and representing Southampton students and young people in politics.,
drnataliemartin,"Ex BBC now Asst. Prof. in IR at the University of Nottingham. Interested in news media, 🇹🇷 and all things political...because all things are political #WIASN",
RobertsMartinO,Once a lawyer (LLB Leeds) now Middle-Aged Medievalist (MA Lincoln). PhD Student Univ of Nottingham. Studying 16C church courts. Opinions expressed mine. #FBPE,
DailyAphorism,"Recently married, University of Salford employee, lover of books, Russophile, part-time traveller and kitten owner!",
MBASaunders,"Author of Leadership, and passionate about growing the potential of responsible leaders at Lancaster University, at church, and at home!",
BruceHenderson2,"Project Management, student projects, film (NBLB Films & IMDB listing), Santa, Radio, Rotarian + fuel tech (10%+ fuel saving), microrenewable ideas.",
Christopheryaje,LPC London University https://t.co/q3jTasgyUD https://t.co/oCFnupK16Z #EvermoreDogRescue https://t.co/8xMa0Tt2Gj,below30
WPTench,@YoungLiberalsUK Policy and Diversity (LGBT+ Rep) Committees Member • 3rd Year International Relations Student • US Embassy Future Transatlantic Leader • he/him,below30
alisonmoore52,Placement Manager University College Cork . PhD Student CREC & Birmingham City University.  Advocating Children's Rights Author,
DrRMHRumney,"Senior PDRA (not a medic!) at the University of Portsmouth. My opinions, not my employers!",
DrVCardo,"Lecturer, Winchester School of Arts, University of Southampton; politics, gender and digital media; co-director of @iPICResearch with @ShaunRCole",
JoshualtaylorLD,"Studying History and Politics at Durham University. @LibDems member. Help out at @Youngeuromove, @DurhamYEM & @DULibDems. Love thorough chats about politics.",below30
LancsUniLibDems,Representing @libdems at Lancaster University. We meet Wednesdays at 6pm in Bowland North SR 5! Interim President @j_a_r_perkins,
politicsastar,"News & debate especially for A-level politics students. I'm Head of Politics at the leading, academic, co-ed boarding school in the north of England. Insta too",
Tnttodda,"I'm just a guy doing things at my own pace.
PhD Student + WoW + Star Trek",below30
AidenW,"LFC fan, Alder Hey fan, cancer survivor (Wilms-1964!) slow jogger, p/t Birkbeck lit. student, francophile/hispanophile",
SueNieland,"PhD student and proud staff member of the Open University.  Into politics, Europe, social psychology. Love birds, books, Lego and the Arctic. Views are my own.",
JohnHoward46,Open University lecturer in social work.  Still wondering why we send so many people to prison.,
skylinermcr,"Alternative Manchester walking tours. Freelance researcher/writer. MA in Place Writing. Student @placemanagement City writer by day, nature writer by night.",
Bradley_SJ_,Vice President of the University of Sussex Liberal Democrat Society 🕊 18 • Sussex Politics Society Committee Member • Aspiring Politician 🖋 Social Sciences 🤔,below30
keeling_v,"Occasional retweeter of Tory bile as a daily reminder of the GE19 disaster.
worker, mum & partner. P/T student (exhausted!)    #AutismAwareness .",
PaulMarchant11,Visiting Lecturer for University of Hertfordshire and fledgling allotment holder. Very happily married and staunch European!,
JFitzAcademical,"Tweeting about Health Informatics, e-learning, research ethics, teaching and learning, and life at the University of Central Lancashire.  My views are my own!",
melon_h,"Head of Library and Archives Service at The University of Westminster. 
Film lover, swimmer and European too.",
Raphaelhd1,"History Student and Museum Volunteer. Interested in popular culture, history and politics.",below30
JonathanLibDem,Mature student studying software development.   Retired NHS employee & volunteer. @winld local election candidate for Bishops Waltham.,
Harini_Iyengar,Lead London Assembly 2020 Candidate at Women’s Equality Party. Practising Barrister. Writer. Inn of Court Bencher. University Governor. Lone Parent of three.,
JonMusgrove,"Farty bloke who likes to cling on to pretence of normality. University lecturer but convinced one day I will finally be a rock star. Rugby Union, History, News",
alsaadoons,Studied at Manchester University (Economics) and London University ( Political Science). Qualified as a Chartered Accountant.,
amywok1,"Lancaster Uni PG student, Rock choir singer  and LGBT rights speaker. views and tweets her own!",
adrian_warner,"Recovering from Redundancy author. University lecturer/media trainer, journalist at Reuters, BBC, Evening Standard. Singer @thechoir.  https://t.co/abgORmQ6sm",31-59
maxrimmer1027,"Politics and music student, F1 and cricket fan. Liberal Democrat member, and an advocate for liberal ideals.",below30
Cam_Spencer_8,History and Politics Student 🔶,
AlexAgnewAA,Physics Student | Photographer | Interest in Politics & International Relations,below30
EayrsHugo,"He/Him. Student, philosophile, generic nerd and snob.",below30
tariq_43,"A student, teacher and practitioner of political philosophy. Interested in all practices against corruption and communalism.",
PaulHindley2210,Social Liberal. Politics PhD Student. Sci-Fi Geek. Disabled Person. Gay. Lancastrian. European.,below30
OliverPridmore,Journalism student at the University of Lincoln.,below30
chaletschoolfan,Trying my best. Mostly harmless. Old and creaky. University Disability Adviser. Former Mental Health Occupational Therapist. Extreme traveller. Telly watcher.,
DwanJamie,Former Lib Dem Parliamentary candidate - 20 - UoM Politics student - MCFC season ticket- Vice President @UoMPolSoc - Chair @ManchesterYL,below30
TerryeT,At Falmouth university doing a 3 year Fine Art BA. Chair KCS Trade Print manufacturer of integrated label forms. 3 daughters 4 grandsons,
falabdullah57,Political Science student at Michigan State University. Retweets are not endorsements.,
CallumShephard,"Writer, reviewer, former film student, science fiction enthusiast.",
siavosh33,"Senior University Lecturer, President of National Association of #Iran'ian Academics in UK",
AberystwythYL,Aberystwyth Student & Young Liberals // Myfyrwyr a Ieuenctid Rhyddfrydol Aberystwyth. A part of @rhicymru and @YoungLiberalsUK.,
DaveArnold91,SU staffer. Student representation in HE. Palaeontologist. Long distance runner & @parkrunUK addict. Politics/transport nerd. Views my own. He/Him.,
TimUnwin,"UNESCO Chair in ICT4D; Emeritus Professor of Geography, Royal Holloway, University of London; Honorary Professor, Lanzhou University; Shujaa; views my own",
victorgavin,"Professor of Contemporary History at the University of Barcelona and FC Barcelona' supporter. Lover of good soccer,  good food,  good beer and good friends.",31-59
arborist2222,"Dad, husband, GYM, University of Central Lancs Arb FdSc student, RFS-Cert Arborist, Birder, RSPB Liverpool, Field Ecologist for @SKEnvironmental.com and nobhead",
