screen_name,description,label,,,,,,,,,
Davidbr55025958,Just a normal family man living in the UK I support Brexit .  Trump.....conservatives..and  Brexit party cannot abbide  comrade corbyn and all he stands for,,,,,,,,,,
tassiedi,Die-hard WASPI. Love anything that will make me laugh. Grumpy old woman with attitude. Hate people who make my life difficult and who make victims of others!,,,,,,,,,,
Matt_KT24,"Motorcyclist, gardener and regular man cave inhabitant",,,,,,,,,,
Eddiefreeves,"Lawyer, Tory Cllr & Cabinet member @OxfordshireCC; obvious nerd: into yoga, philosophy & Local Gov detail; Banbury man & @SaintsRugby fan; ever bolder & balder.",,,,,,,,,,
Jk_Sangkrai,Just a common man only. - เป็นเพียงแค่ผู้ชายคนธรรมดาเท่านั้น,,,,,,,,,,
RoseFor19609476,I am a radiant woman of beautiful design.,over60,,,,,,,,,
thegarypayne,"A man with and of many hats. #Law Trained #DPO, #DataProtection & #GDPR Specialist working internationally; Accredited #Trainer and #Assessor.",31-59,,,,,,,,,
BaronessGale,Rhondda woman in the Lords. Campaigns for more women in political & public life Co Chair of Parliamentary Parkinson's group. Shadow Minister Women & Equalities,over60,,,,,,,,,
HumphreyintheUK,"I am a British man in my forties, living in the UK. I use this account to bookmark tweets about current affairs and politics. Retweets are not an endorsement.",31-59,,,,,,,,,
AG_ThorpeApps,"Solicitor & Fellow @TheRSAorg. Campaign for Real Education Exec. Passion for education, business & rural affairs. #Essex man & cricket fan. Views mine.",,,,,,,,,,
Rogue_74,"It is in truth not for glory, nor riches, nor honours that we are fighting, but for freedom – for that alone which no honest man gives up but with life itself.",,,,,,,,,,
Hughbiquitous1,A man in the middle,,,,,,,,,,
landofhopenglry,"Leeds United fan man and boy. Actions speak, words are just smoke and Mirrors. Support Brexit, Despise PC, intellectual liberal Elites and EU technocrats.",,,,,,,,,,
LindaSk49118554,"Hard working married woman with a strong sense of justice and belief in karma. Tommy Robinson fan/Brexiteer.
No time to reply to DM's.",31-59,,,,,,,,,
levelpeg,"On the square-Vet-All the Way-Easy-Every man an Emperor-Glasgow Rangers❤️💟💙 Can the take boy out of Brigton, but cant take Brigton out boy- Brigton Billy Boy",,,,,,,,,,
theloneranger61,Just a #common man fed up with #politicians and #journalists scare mongering. Waiting for the day a #Lord Protector or ruling monarch reappears. #rulebritannia,,,,,,,,,,
Atkins1S,"USMC 73-77 Pray for the point man Farthest from home Help him find the way Love, life, faith, forgiveness & sacrifice 
Lovers live forever
Semper Fi America",,,,,,,,,,
ranger_samy,"The fool doth think he is wise, but the wise man knows himself to be a fool.

#ifb
I follow back.",,,,,,,,,,
Carl57869256,Tory voter and lifelong man utd fan,,,,,,,,,,
larakev100,Likes man utd and most sports,,,,,,,,,,
david18966767,"Crypto investor, wannabe ratrace escapee. proud poppy wearer, man cave dweller.🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇺🇸🇮🇱🇭🇺",,,,,,,,,,
orionsstars76,Heterosexual white English brexit man married with children. 🇬🇧 I always follow back 👍,31-59,,,,,,,,,
theonlype,"Just a man that gets shit done. I love the mountains, all things outdoors and some things indoors for that matter.
Fortune Favours The Brave.
#makeadifference",31-59,,,,,,,,,
SamJone88527816,family man love live music and football,31-59,,,,,,,,,
photomikeyhere,"Shropshire ..  Conservative... married trainee dirty old man .. be polite, funny, or sod off .. FBPE, Bitcoin, young chicks sod off too",,,,,,,,,,
rogerjean1,"Ex HM http://t.co/nDFsGFQBsg Flag of St George.England for English, believe marriage is between man and woman.keen cyclist and grandad. Out EU please NOW.",,,,,,,,,,
nigelat34,"Brexiteer, Love Europe hate the EU. fan of Hitchens, Farage, Trump, Tommy. A wise man makes judgements based on the evidence",,,,,,,,,,
aglno1,"A man of many parts, not many of them matching.",31-59,,,,,,,,,
_Steve_Clarke_,Family man and workaholic... Started designing websites for fun and now a slave to the internet... The views expressed here are frequently not mine.,31-59,,,,,,,,,
ValKyrie0,Professional working woman who despairs at the crass behaviour witnessed daily all around me. I am one of the silent majority. Common sense is not that common.,,,,,,,,,,
MentorMotor,Love Sovereign Harbour to bits. Great place to live. Still a die hard QPR Shepherds Bush man at heart though.,,,,,,,,,,
gorseland1,Grumpy old man ;-),,,,,,,,,,
commonsence111,"John 14:6 Jesus saith unto him, I am the way, the truth, and the life: no man cometh unto Father, but by me.",,,,,,,,,,
gridnash,"Englishman. 

'And how can man die better
Than facing fearful odds,
For the ashes of his fathers,
And the temples of his Gods?'",,,,,,,,,,
DS_Removals,"DS man and van rubbish Removals based in Croydon, Surrey. man and van removals ,House clearance, Rubbish cleared, (https://t.co/kBp0XLXAJj)",,,,,,,,,,
LiamStacey11,Eh ye awrite wee man .... eh naw,,,,,,,,,,
JoanWillson1,Business woman /professional seamstress/Small shop in Carmarthen partner with my sister . Stand for fairness for all. Womens rights are my priority.,over60,,,,,,,,,
Jordan48080098,Judge a man by his questions rather than by his answers,,,,,,,,,,
pmdavidwilliams,Christian family man | Freelance Business Consultant @abettercvuk | Politician @publicwilliams | Comms @beulahapostolic All views & RT are my own views,31-59,,,,,,,,,
ProperMuppet,"In a complex, occasionally intimidating world, I am a simple man with simple needs.",31-59,,,,,,,,,
Westrid,"Secondly, you must consider every man your enemy who speaks ill of your king; and thirdly, you must hate a Frenchman, as you do the devil.",,,,,,,,,,
jude6501,Every day working man dog lover 😁,31-59,,,,,,,,,
Number4Tim,"Behind every great man there's an even greater woman, a boxer dog, two kids and a dash of bikram yoga.",,,,,,,,,,
Oakington62,"Will never believe in Leave. Member of LibDems & 4 Cricket clubs - Lord’s regular, volunteers at Cambridge Uni and Histon. Jumps man in winter. Views my own.",,,,,,,,,,
WinstonScott22,"Just a man with a beautiful family and a business taking 15 years hard work to build, trying to make it through this selfish, crazy world.",31-59,,,,,,,,,
DrMW,"General Manager AGR Living. Leading diverse teams to achieve great results. Adventure racer, dad of two and real ale man in the mean time.",31-59,,,,,,,,,
ds37alwaysred,Vote for the man who promises least; for he'll be the least disappointing.,,,,,,,,,,
dougiemalpas,Love football (big man utd fan) formula 1 cricket and driving nice cars gulf war 1 veteran,31-59,,,,,,,,,
jemcokevin,An insurance man who really wants to be a full time racing driver... Look out for @Yutreeinsurance & @YutreeUW too... oh and @newmarketfestvl,31-59,,,,,,,,,
nickysmusings,"Mum to 2 Airedales, 1/2 of a coin with a man being the 1/2, Manager of Window Cleaning Co, Secretary at BRATS (Ham Radio Club). No offence, I don’t answer DM’s.",,,,,,,,,,
Jboy1878,"I am a 42 year old married man living in Birkenhead, Wirral, originally from Liverpool, proud scouser and Evertonian, darts fan, re tweets not an endorsement.",31-59,,,,,,,,,
damienk11,"loves watching boxing pro and am, man utd & a bit of hurling,he lies not because it is in his interest, he lies because its in his nature",,,,,,,,,,
vinceheaney,a man of independent mind out on the boundary and still crazy after all these years,,,,,,,,,,
hole_house,"Middle aged woman - I don’t use Twitter for business. 
If you are here for the bags - check my Instagram or Facebook.
or https://t.co/1k4Smrcs5M",31-59,,,,,,,,,
GayeDalton,"A woman who once sold sexual access. 
Hate lies,
That's a VERY old picture.
https://t.co/lPEAQIHgbf",,,,,,,,,,
DrHooley,wants to be the first woman on Mars... maybe with a robot companion...,,,,,,,,,,
p_strelley,"works at Europa,.driver, Dartford. loves reading, currently reading the works of Martin granger. oh man great reading",,,,,,,,,,
thatblokeinpr,"PR man making headline news in property. Offices, sheds, retail, leisure, co-living, investments, development, construction - you get the general idea.",31-59,,,,,,,,,
BDimyon,"Female #Rape #Survivor - PROUD of the most heroic act of my life when my 18yo self taught a man #Consent while he was raping me. #Dyke
Pronouns: Me, myself, I.",,,,,,,,,,
0xFBADBEEF,We contend that for a nation to try to tax itself into prosperity is like a man standing in a bucket and trying to lift himself up by the handle - W Churchill,,,,,,,,,,
DavidDMonk,Happy man 1 wife 4 kids & 1 dog. Main interest politics.,31-59,,,,,,,,,
theshrk22,Poor man want to be rich. Rich man want to be king. And a king ain't satisfied Till he rules everything. 𝘽𝙧𝙪𝙘𝙚 𝙎𝙥𝙧𝙞𝙣𝙜𝙨𝙩𝙚𝙚𝙣,,,,,,,,,,
gardeningishard,"No rational argument will have a rational effect on a man who does not want to adopt a rational attitude. Karl Popper
#FBR 🇬🇧",,,,,,,,,,
timhaskey,"You have enemies? Good, that means you have stood up for something! WBA, Yeltz, CRM & insurance career, man cave, Abarth & pubs. Views my own",,,,,,,,,,
PP_Halesowen,Cheap gin swilling matriarch. 'The Lou Beale of Highfields' - Ex-Cllr Bob James. 'We need an injunction against that woman Gary' - James Morris MP.,,,,,,,,,,
MrsTrellis4,"""There is a saying in the bare mountains of my land: a woman for necessity... a boy for pleasure... a goat for choice.""",,,,,,,,,,
Kose4by4,"“No man ever steps in the same river twice, for it's not the same river and he's not the same man.”     
―     Heraclitus",,,,,,,,,,
ThatKevinShute,An every day apostate striving to be the man my dogs think I am. Always Gravy never Jus. RT's≠endorsements.,,,,,,,,,,
AndyKMTV,"TV man who loves his family. @KMTV_Kent Editor-in-chief RTs are not endorsements and all tweets are my own views (and yes, that's a #Guernsey flag)",31-59,,,,,,,,,
ChengClive1,Middle aged man 照顧老人家及孩子 #hongkonger,,,,,,,,,,
AnnLimb,Philanthropist mover & Quaker 1st woman Chair @UKScouting; Chair @UKICNews https://t.co/ZQnETn9YT0 @ENTRUSTReg @IFMKfest; Vice Chair @cityandguilds,31-59,,,,,,,,,
captain_t_kirk,a mere man trying to find his way in a tough business world. comments and thoughts are mine only,31-59,,,,,,,,,
Buzz1872,"Loving husband, Dad and hopefully all round good guy. Big Rangers man (CR5). Royalist. Unionist. WATP🇬🇧",31-59,,,,,,,,,
disha404,International Relations MSc student. University of Surrey. Sociologist at heart,below30,,,,,,,,,
politicsastar,"News & debate especially for A-level politics students. I'm Head of Politics at the leading, academic, co-ed boarding school in the north of England. Insta too",31-59,,,,,,,,,
harshatsilva,"Journo @Lankadeepanews 🙄🤪bibliophile, a serious cricket fan , occasional 📷 Earthbeing trying 2b more human, student as always. Edward R. Murrow @StateIVLP",below30,,,,,,,,,
dasgupta_sauro,"UG student of International Relations, Jadavpur University,Kolkata, India.

Interests- debate, MUNs, geopolitics, strategic thinking, reading, writing,fitness.",below30,,,,,,,,,
DTaylor75103399,"Retired, Welsh 🏴󠁧󠁢󠁷󠁬󠁳󠁿 & proud to be British, studying Classical history. Music, travel, news & Brexit",over60,,,,,,,,,
c0mat0es,"Living off proceeds of 48yrs' stamps on NHI card, 45 paid and three waived, as student.",over60,,,,,,,,,
CorbynOutNow,"Northern, LGBT, studied holocaust literature, Master of Science, Batchelor of Arts, centrist. Anti-Corbyn.",below30,,,,,,,,,
quadtee,#englandcricket #englandrugby #Kentcricket |#marvel | Hate animal cruelty | #geek #techlover | If anyone cares currently studying at the #openuniversity,,,,,,,,,,
LecturerMish,"Occupational therapy educator & PhD student. Interests: systems thinking, economic evaluation gender equality & human rights. Tweeting in a personal capacity.",below30,,,,,,,,,
BorkowskaAlicja,Conservative Party candidate in the local elections in 2010 and 2018; Tory activist; studied politics and journalism,,,,,,,,,,
DavidHuggins66,Passionate about #ODP and supporting students through good mentoring. Norwich City fan and family man.All views are my own. RTs aren't but may be interesting!,31-59,,,,,,,,,
ThomasGosling5,Medical student passionate sailor lifetime conservative,below30,,,,,,,,,
SofiaKyawSein,Conservative / History and Politics student / Frustrated daughter of non voting parents / Immigrant offspring / Orchestral and Classical music fanatic,below30,,,,,,,,,
MCekavicius,| 20 | British Lithuanian | student | unapologetically @Conservatives | capitalist | sometimes libertarian | the youngest cllr candidate in London in 2018 |,below30,,,,,,,,,
OscarCullinan,"One-Nation Conservative, A-Level student, exiled Lancastrian, Northampton Saints supporter // Pragmatism over Partisanship' // 17 🇬🇧",below30,,,,,,,,,
justalittlechat,Final Year Law student at University of Roehampton,below30,,,,,,,,,
CllrLJones,"Mayor and @Conservatives Councillor for Overton & Five crosses & chair of planning for @frodshamtc.  
CAD Technician @randlewhite & PT student @SalfordUni",,,,,,,,,,
AdamBantfield,"Marvel/Taylor Swift/Star Wars loving Economics student. I tweet, albeit not exclusively, about all of those. Likely to be found fan casting a better cabinet",below30,,,,,,,,,
KaluMazi,A Biafra man with the interest of Biafra people.A student of Mazi Nnamdi Kanu and radio Biafra,,,,,,,,,,
Zak_Wagman,I tweet on politics (blue) and football (red). History student. Former council candidate. @Arsenal FC youth representative. 🇬🇧✡️🇮🇱,below30,,,,,,,,,
nat_eck,Chair of @Tameside_YC | Politics student | Rower | @iealondon Intern 2019 | All views are my own,below30,,,,,,,,,
teacherthom,"Teacher and student, in no particular order",31-59,,,,,,,,,
brexology_uk,"'brexology' : the study of political and economic self-harm.  https://t.co/BVAegsnrim
🗳️ https://t.co/w0YRLQJlaV",,,,,,,,,,
seusssl,"Was mature student in  BA & MA Politics  (Newcastle Uni). EU Rejoiner, Labour, ex teacher, England cricket  and Newc Utd fan. Rescue lurcher owner.",over60,,,,,,,,,
Alice_Lovegood_,"international student in uk
politically homeless
I m a remainer thank u very much",below30,,,,,,,,,
vanessaptweets,"Student at ION. Juggling marketing, studying and life over 50.",over60,,,,,,,,,
Gweilouk,"Father, Armchair astronomer, Guitarist, Mountain & Road Bikes. Science student with #Openuniversity #AvailableForPanto",31-59,,,,,,,,,
mousebiber,Big Fan of Scotland! Unfortunately Ex-resident due to Brexit; Making a home in NL now. Professional know-it-all  (comes naturally when you study Physics),,,,,,,,,,
bookishwgc,"Solicitor, former Government lawyer, bibliomaniac, opera lover, gardener, student of Tai Ji Quan, cook and bottlewasher. “Remainer vermin”; #WeWillBeBack",31-59,,,,,,,,,
English_YL,Young and student Liberal Democrats in England. Chair- @Worralljack Join us today! https://t.co/mYi9BKni3A,below30,,,,,,,,,
Lawyerlinguist1,"Languages graduate 🎓 
Erasmus student
Fluent in French , Spanish . Some Portuguese and Italian
Employment Law Solicitor 
Law lecturer/tutor",below30,,,,,,,,,
maelysdervenn,"Without the EU I wouldn't have had the freedom to love, study and work in three European countries",,,,,,,,,,
IanRobinson,"Writer, walker, secularist, optimist, Apple enthusiast, cinema lover, hobby musician, science junkie, perpetual maths student, cricket fan, chess patzer.",below30,,,,,,,,,
zoka64620384,Research student UEA Norwich. Proud graduate of both University of Brighton and UWE.,below30,,,,,,,,,
GraceGrace90,"Retiree,U3A student, volunteer. Into using my time to help others & prove there is life after retirement!",over60,,,,,,,,,
BradenDavy,"Councillor, Economic Development spokesperson for Angus. Unionist 🇬🇧

MSc Economics student.",below30,,,,,,,,,
CarrKeelan,"Ex-SpAd and speechwriter at No10 and Scotland Office, some-time English student, current wastrel. Insta: @krcgram",,,,,,,,,,
Paul_C_Chapman,"British animal lover, amateur photographer, and classical liberal. At various points a genetics student and financial services change delivery professional.",,,,,,,,,,
ROGERBEYNON1,Ageing student of life.,,,,,,,,,,
KeithBrown999,"Physics, Politics, Sport, Chess player, retired finance director, Newcastle United (exiled) & Bristol City fan. OU student. Somerset.",over60,,,,,,,,,
CovUni_CS,"Bringing together like-minded students for discussions on politics, campaigns, and topical debates.",,,,,,,,,,
OllyScargill,"Medical student.🇬🇧
Prospective Tory candidate for Wingrove ward",below30,,,,,,,,,
AnthonyMcKenna9,A person with great respect towards people who show it Friends. Politics studying & @Conservative Member,below30,,,,,,,,,
bowmanator97,"politics student at University of Kent, one-nation, pro-free speech & individual liberty. #COYS #GoPackGo",below30,,,,,,,,,
TheGrumpyLE,Serving British Army Officer. Doctoral (DBA) student. My views are personal. They do not represent those of the British Army or Defence.,,,,,,,,,,
JackiKillick,"Married to an Englishman but proud to be https://t.co/QQAV6F3vEP dog. Ex student teacher, ex wpc. Retired. Pro Leave. https://t.co/PCTQ1OTOai DMs unless I know you. Won't reply.Will block",over60,,,,,,,,,
MissDebsMiller,"Psychotherapist, eternal student, BSB fan, wannabe professional fangirl, animal lover #fibrowarrior",below30,,,,,,,,,
asadoyi,We study war and politics so our children can study mathematics and philosophy so their children can study music and poetry - John Adams,,,,,,,,,,
chabis_ch,Youtuber: https://t.co/Xh0Rbmam29  Started studying business informatics in St. Gallen after 20 years IT. Mastodon: bones0@chaos.social retweets #Science stuff,31-59,,,,,,,,,
DebKRoberts,"IT Director (prev. Finance Director). Post-grad. student (software engineering, innovation). Apparently autistic. Supporting Brexit for the English Renaissance.",,,,,,,,,,
emnataliec,"Faith, Family and Freedom. Pro-Life advocate. PPR student. Woman of God. RT ≠ my views. Social Media @orthodoxconsgrp. 🤍emmanatalieyates@gmail.com",below30,,,,,,,,,
Phil_Baty,"Chief Knowledge Officer at THE - home of @timeshighered @THEworldsummits @THEworldunirank @timeshigherjobs & for students, @theuniadvice #loveHE",31-59,,,,,,,,,
LizzieBillingt1,"PhD student with the Roslin and Pirbirght Institutes, working on understanding bird flu. Yes I make mutant viruses, no I'm not a supervillain. she/her",below30,,,,,,,,,
UCLEnterprise,"We work with staff, students and businesses to turn knowledge and ideas into the solutions that benefit us all.",,,,,,,,,,
carolak,Open Educator-Researcher| Senior Lecturer: Ed+Tech @BathSpaUni | #GO_GN |PhD candidate looking @ agency in Open Learning Spaces| students' perspective| (∞.∞)🐞|,31-59,,,,,,,,,
reeceistweeting,19 • He/Him • 🏳️‍🌈 🌳 British Politics and Legislative Studies student at the University of Hull and member of the Conservative Party,below30,,,,,,,,,
PhDMayors,"Lecturer in British Politics @DMUpolitics. Political leadership (UK, US & Europe), comparative studies and mayors. Views own. RT not endorsement.",,,,,,,,,,
EdLaslett,Law student. @Only1Argyle fan. Runner @JK_Team. Conservative. Cornishman and Unionist 🇬🇧. Former @BathUniTories president. @TruroSchool AH,below30,,,,,,,,,
William11hudson,"VP - @rdgunitories| Views mine|                                    West Ham ST Holder|
French and Economics student| #avgeek",below30,,,,,,,,,
RdgUniTories,The Reading University Conservative Association. Representing conservative minded students on campus. Email: president@ruconservative.com,,,,,,,,,,
Bestie563,International Relations student | British/Irish 🇬🇧🇮🇪 | Environmentalist 🌍 | Views are my own |,below30,,,,,,,,,
kurtisssprosser,Education policy @blue_beyond_ | BA History @SwanseaUni | Public Policy MA student | found at @Backbench_uk| @portermedium | Luke 8:17 | usual caveats apply,below30,,,,,,,,,
Lee1995Matt,Former WKC student. Assistant Wine Buyer. Anglo-Maltese. Passionate advocate of country music. Views my own. RT not endorsement,,,,,,,,,,
asfaivre,Conservative. University of Warwick. Economics student. Opinions own etc.,,,,,,,,,,
PDiMauro,Civil Engineering student at Teesside University. Junior Engineer at Anwen Construction Ltd.,below30,,,,,,,,,
Patrick141298,"Christian.Twin. LLB Law student at Anglia Ruskin University, Cambridge.
Interested in politics.
Co-administrator for @lawyers4britain.",below30,,,,,,,,,
James_Bourke_,"Sixth form student @WBGSExcellence            
            
Member of the Conservative party 🇬🇧              
            
LGBT Conservative, one nation Tory.",below30,,,,,,,,,
RobertOgden1,"22, Politics and history student at Lancaster University. #GetBrexitDone",below30,,,,,,,,,
AlistairHickman,"Composer based in Cardiff studying @RWCMD also studied @RCMLondon. Interested in Music, Culture, Ecology, Economics, Geography, Philosophy, and Psychology.",below30,,,,,,,,,
PaulMegiddo,Founder of Megiddo Media and a student for the Christian ministry at RTC (Northern Ireland) Retweet/Follow/Like ≠ endorsement,31-59,,,,,,,,,
mdhuxham,"Ex-Russian literature student, accountant and banker. Consultant at Climate Policy Initiative leading work on carbon transition risk and stranded assets",31-59,,,,,,,,,
lewis_virgo,"MSc Elections, Campaigns and Democracy student @rhulpir",below30,,,,,,,,,
MrsPStockport,Working with the best students in a school in Stockport.,,,,,,,,,,
SnellerBarney,"Geography, Politics student. I'm doing a dissertation on global Britian. I'm a duty manager at Royal Holloway students Union. I like to row in my spare time",,,,,,,,,,
StephAnn0102,"Tweeting predominantly on politics, food and dinosaurs. MBA student, FRSA, Liveryman @FurnitureMkrsCo, @ToryReformGroup and School Governor
Views my own",,,,,,,,,,
Gaz_Spurs1882,"Mature dyslexic student, studying history and politics.
Apologies for the dodgy syntax, grammar, and spelling mistakes.
Labour Party member.
Tottenham Hotspur.",31-59,,,,,,,,,
jonchaloner,#GlobalHealthPolicy MSc student at @LSHTM 🎓 • #Conservative #brexiteer 🇬🇧 • Tea aficionado🍵• Foodie🥞 • Leicester Tigers Fan 🏉,31-59,,,,,,,,,
weighedin,Joint owner of 2 film/TV studios. Nurturer of talent. Incognito,over60,,,,,,,,,
TomSeston,3rd year politics student. Views are my own. RT ≠ endorsement.,below30,,,,,,,,,
robinwbarrett1,Being studying at the university of life for the past sixty odd years and still don't know everything - but I know a man who does,over60,,,,,,,,,
neonatelee1,"Neonatal and ED nurse. Lecturer of Children’s nursing. Father. Husband. EdD student. New runner. Pompey fan. Tenacity, humility & kindness. All opinions my own.",,,,,,,,,,
ThisIsYiannis,"A father. I spend the rest of my time studying and teaching Nutrition and Genetics.
Head of Nutrigenetics at Nell Health.
#nutrigenomics #personalisednutrition",31-59,,,,,,,,,
NathanB1868,Coxhoe Parish Councillor. Politics student at Durham. Neo-tory & Conservative. Part time Hobbit. Head of The Disraeli Group. 🇬🇧🌳👑,below30,,,,,,,,,
ClaireRosGill,"Nurse and PhD student, Former Conservative Parliamentary Candidate for Blackburn, keen runner and proud springer spaniel owner. Views my own.",below30,,,,,,,,,
Jord_Is_Dead,"Economics student, formerly worked in politics. Life is comprised of volleyball, Pitstop breakfasts, reading and quizzes.",below30,,,,,,,,,
BMSPolitics,BMS Politics is our way to help A level students keep up to date with the latest developments in both UK and US Politics,,,,,,,,,,
Pendler7OL,"The freedom to live, study or work in a European country of choice is essential. European patriot.",,,,,,,,,,
louisesdad,"Father of a feminist girly swot and an LGBT person. PhD Ed student, former school teacher and policy adviser.",over60,,,,,,,,,
SueNieland,"PhD student and proud staff member of the Open University.  Into politics, Europe, social psychology. Love birds, books, Lego and the Arctic. Views are my own.",over60,,,,,,,,,
Bea_John,"Digital Professionalism Expert, Nurse, lover of cake. Former Digital Professionalism Lead for King's College London, now PhD student at UCC. Opinions my own",31-59,,,,,,,,,
garrylayden,"Musician, architect, teacher, student, researcher, writer, veggie, lefty, European, dad. The opinions I express are either mine or my wife's.",31-59,,,,,,,,,
BruceHenderson2,"Project Management, student projects, film (NBLB Films & IMDB listing), Santa, Radio, Rotarian + fuel tech (10%+ fuel saving), microrenewable ideas.",31-59,,,,,,,,,
MatthewR0226,"History and politics student at the Uni of Liverpool, Lib Dem member and Pro-EU. Mostly politics and any of my other ramblings.",below30,,,,,,,,,
Darw1nEvolution,uOttawa linguistics and psychology student. Atheist and Humanist. Supporter of #Remain and Arsenal FC,,,,,,,,,,
LordSeacroft,"Proud to be Yorkshire, proud to be English, proud to be British. Was slightly rubbish at studenting. Currently with slightly rubbish @YouTube channel.",,,,,,,,,,
muadh94,Muslim/Engineering student/LFC,below30,,,,,,,,,
JohnnyHM03,Nursing student at Southampton. @UKLabour member https://t.co/X2rQzKFmFn @havantRFC #UpTheHill,,,,,,,,,,
aaronsonglass,"A leading British glass artist, Adam Aaronson works & plays at his studio in West Horsley, Surrey. Like=I've read. RTs not endorsement.Tweets not always serious",31-59,,,,,,,,,
qmcollege,"Located in Basingstoke, QMC is for students aged 16+. Whatever your achievements so far and whatever your hopes for the future, you are welcome at QMC.",,,,,,,,,,
qmcpolitics,"For all our fantastic QMC Politics students, past, present and future. RTs = interest, not agreement!",,,,,,,,,,
TommyPaterson3,@AFCRD. Business student who enjoys a good debate. Avid Tory and extremely Atheist. 19.,below30,,,,,,,,,
joeyy_stack1727,"Sociology Graduate of Coventry University. Current Politics & International Relations MA student. SWFC, Cavs, Browns and YCCC fan. 💙💕 @hiraethdays 💕💙",below30,,,,,,,,,
SweetladyButch1,2020 a year of transformation. Our  mission is to change for the best supporting UK and what matters to us. Writer studying criminology,,,,,,,,,,
sr_petra_clare,Sister Petra Clare - Orthodox iconographer developing Online Icon Course: studies from Jewish roots of Christianity to contemporary artistic & moral challenges.,,,,,,,,,,
BR8228,Marketing student at Derby University,below30,,,,,,,,,
therstherese,"Post-Grad student • Writer by hobby • Interested in politics, fashion, figure skating, music, movies and TV shows",below30,,,,,,,,,
k8cjt,"Mature Theology & Classics student, love sewing, quilting & bread making, bees & greyhounds. Veteran QA, remarried war widow.",31-59,,,,,,,,,
matthewminikin,northerner & fed up. tolerating perpetual hangovers whilst studying geography @QMUL. supporting @TeamNandy! weird us politics geek. #KHive forever and always x,,,,,,,,,,
chels_annett,psychology in education student @ UoY l vegan 🌱 l YL care leavers rep l lib dem in york l cymraeg l secretary @UoY_PiE l chair @UoYlibdems,below30,,,,,,,,,
George_Tr0,🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿🇭🇺 - London/Nottingham - IR student - Centre-right - Zionist - Lib Dem - Eurovision - Insta: george.tr0 - #Biden2020 - #EdForLeader,below30,,,,,,,,,
Iddonpaula1,"Teacher. Tutor mentorNQT  
 Erasmus teachers and students.English teacher. / Drama Expressive Arts
Politic lit
https://t.co/APgzqos8B4 ordinator 
EUCitizenship.Eurotom. S",31-59,,,,,,,,,
TheArchiePowell,21 🎈| Computer Science grad 🎓| HPC PhD student📚 | Hardware enthusiast 🔌 | Rollercoaster nut 🎢 | Lib Dem 🔶 | Built to change the world ;),below30,,,,,,,,,
iAntsaoir,Retired Senior System / Functional Safety Consultant. Now focusing on my 50+ year interest in Archaeology; studying @ The University of the Highland and Islands,over60,,,,,,,,,
jaredjeya,"REJOIN 🇬🇧🇪🇺 Social Liberal 🧡 Lib Dem 🔶 but #1 priority is the climate crisis 🌍 Cambridge grad, now a Condensed Matter Physics PhD student at UCL!",,,,,,,,,,
JamesBezer,PhD student at @ImperialBioeng,,,,,,,,,,
stellaparkes,Trustee @BDLandTrust + @SVPcharity #Stroud -eclectic news sharing-supports #environment #community #shoplocal Optimistic #Crone studying #shamanism Views my own,,,,,,,,,,
LDNYoungLiberal,London students and young professionals of the @LibDems  E-mail: london@youngliberals.uk,,,,,,,,,,
DamianAStuart,Barrister specialising in child care and COP matters. Rated in Chambers and Partners 2014 and 2015. Sports Law student. Occasional actor and playwright.,31-59,,,,,,,,,
AlfieFrancis7,I study at the London Nautical School. I’m interested in Politics and Uk Armed Forces. I am a conservative supporter.,below30,,,,,,,,,
SamCocking,"Structural engineering PhD student, interested in old bridges and new sensors. Mostly a personal account. He/him.",below30,,,,,,,,,
UniMatureStudy,"Started this as mature students' resource whilst I was one.
 @LynnCherylEde #Writer, #artist 
Enjoy #history #art #genealogy 
Insta: @lachartgallery",,,,,,,,,,
vegan_asshole_,"23. Labour. MA student, Newcastle University Business School. Evertonian. https://t.co/nZ4nd2Bm2y…",below30,,,,,,,,,
OliviaK61499622,History & Politics student at the University of Warwick.                     Young Conservative.,below30,,,,,,,,,
xbeny100_ben,pol/IR student,below30,,,,,,,,,
Georgie_Hustler,ig: georgie_hustler / / sc: georgiehustler / / brookes / / art student / / art ig: https://t.co/Tu7hWZdORG,below30,,,,,,,,,
LeviCrook,"Proud Conservative member. Currently studying Biology, Chemistry and Music at Coleg Gwent. Prospective County Council Candidate for Pontllanfraith.",,,,,,,,,,
TiffSushiMan98,I skipped the tutorial and now I’m confused x - MEng student @ DMU - Expert Approximator - 20,below30,,,,,,,,,
Stephen_Tierney,"Infamous luxury wedding, VIP party, & creative studio lighting photographer. Call/text 07745 046278",,,,,,,,,,
SupporterTory,"The Official Supporter Of The Tory Party educated 21 year old, deep thinker, economist, political fanatic, business minded entrepreneur, student CAFC 🇬🇧🇬🇧",,,,,,,,,,
AdamPJBell,"Pharmacy student at Newcastle University
Aspiring to be a Hospital/Community Pharmacist
                        I enjoy indie-rock music, films and PC gaming",below30,,,,,,,,,
jcisall,A perpetual student,,,,,,,,,,
DuckersKathleen,I study people,,,,,,,,,,
YaroMatveev,"BA Journalism student at​ University of Sheffield, Russian

DM open",below30,,,,,,,,,
