,screen_name,name,description,female
55822,Dave6027087,Dave,29 I had my Twitter birthday lol,
55833,amandeepgarcha,Amandeep Garcha,Sikh ੴ / Law Student 🎓/ Conservative 🇬🇧 / Aspiring Solicitor,
55933,jiggybhore,Jiggy Bhore,Nichiren Buddhist. Proud member of SGI-UK. Always interested in learning more. Bad housewife. Loving mum and wife. All tweets purely personal view.,
55940,Charlotte1K,Charlotte Keir,,
56033,BO55T,Tammy,"A woman that does. Fact geek who reads everything. Strong opinions on most subjects, but they are my own. Recently widowed after caring 4 husband for many years",
56270,ToryCocaineBus,The Tory Cocaine Bus 💣,"Anti-Tory, Pro-Be-Nice

#ToryWanker #ToryWankers #Greyhounds #Chickens #GTTO #DrugLegislation #ToryGold #FuckBoris #GreenNewDeal",
56279,R2002Ben,no longer active,Account no longer in use but will still monitored from time to time follow my new account @planemadben,
56340,alan_bramley,Alan Bramley,I love my cats and my foxes. #deathtowokeness,
56481,JohnRichardWil2,John Richard William,,
56571,Mark4Leave,Mark4Leave,"Love Europe and the United Kingdom.  The EU is a wasteful dictatorship and we will all be better off without it.
Small business owner, husband and father.",
56578,peaky_m,Peaky_m,,
56598,karlroberts111s,karl roberts,,
56805,2jnic,JS,,
56857,jamesco1982,james collins,,
56913,BrianCranston82,What's Cranston up to?,"Urban cycling, cycling infrastructure, the Tories.",
56917,Stuartwalters7,Stuart walters,"Family, Southend United and golf. What more do you need!",
56966,Johnfis08605918,#BIG JOHN,"dad to Johnny , Henry , William , Hetty. boxing , football , rugby , dog lover , Exeter university",
57236,rjanegibbons82,Becca 🇬🇧🇺🇸,"Love my Staffie, love all dogs - Stylist ✂️  MotoGP VR|46 🏍 MBGA, MAGA, TrumpTrain, Paul Joseph Watson, Owen Shroyer, ✌🏽",
57249,Duffkat43,Duffy,'You'd talk to a goat' some silly Billy once told me.,
57250,stevenson_ed,Ed Stevenson,,
57295,Jogs89,James Stephens,,
57324,tighdave,Dave Anderson,ex Met my father above Queens Own Highlanders my other family.,
57344,YDimages,Y & D Images,Save Brexit link ; https://t.co/SS8uSNRCnN,
57440,HollinswoodPri,Hollinswood Primary,Welcome to the Hollinswood Primary School and Nursery Twitter,
57465,cottrell_frank,AFC,,
57485,MattKingston89,Matt Kingston,Views on here are my own and RT are no endorsements.,
57714,folkertveenstra,Folkert Veenstra,"Welsh Liberal Democrat, Welshpool Town Councillor for Llanerchyddol. I like museums and culture. Dutch-Frisian European in Wales. ALDE and D66 member.",
57788,DotspantryJohn,John Doherty,Amateur Radio Operator G7HIK,
57902,WednesburyKid60,Old Bloke On A Bike,I’m not as conservative as my dog and only slightly more deaf. RT Not always endorsements.,
58010,KurtA_UK,Kurt A,,
58013,amandanewb,Amanda Newbery,"Business Person. Champion of the Late Night Economy & those who work in it. Happiest thinking, reading and talking. Love Salisbury ❤️",
58091,DioSalisbury,Diocese of Salisbury,"The CofE in Wiltshire and Dorset. Sharing Christian news from Wessex, the UK and around the world, and general news of interest to local people.",
58131,JonJTurner,John Turner,I try to make a difference whilst not loosing sight of reality. All my views are my own.,
58390,williamjohnand1,william john andrews,"Amateur golfer ,tropical home owner ,exciting small cap investor ,grandad ,retired consultant ALGW DEV ECHO HUR MATD",
58486,moor64,moor64,,
58550,Mr_Gary_Keenan,Mr_Gary_Keenan,"Former Royal Navy Communicator and HM Prison Service Officer. Current custodian of Moz, the French Mastiff.",
58551,Andycm2s,Andrew Clarke 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿,"Ex Royal Engineer, business owner. Notts Forest fan. Married (happily to Susan for 33 years) Brexiteer, we need our independence back.",
58556,montyhome,Jenny  Eckersley,"Going to Greece! Watching 
Premier League. Anti:Brexit.",
58670,AlixBakerArt,Alix Baker,"A painter of people and places, at home and abroad in several media. Impressionist and Contemporary.",
58730,foxredlab3006,Brian Ridout,Business owner of high quality lighting products Chelsea FC supporter play tennis & golf enjoy a beer and good food,
58744,dace4135,Andy,IT Contractor for 25 years and affected by the retrospective 2019 Loan Charge - Member of #LCAG and #WTTBigGroup,
58747,tassiedi,Diane ⚫ 🕷,Die-hard WASPI. Love anything that will make me laugh. Grumpy old woman with attitude. Hate people who make my life difficult and who make victims of others!,
58846,EUtreaty57,Claudio,100% European 🇪🇺🍾,
58862,AbdulGh56227864,Abdul Ghafoor,,
58866,steviweavi,Stevi Esq. #RejoinEU #ReleaseRussianReport,"100% FOREIGN! Tolerance & respect of other cultures enriches life's experiences. Remainer, have a problem with that, then jog on! #ExitFrombrexit #Peoplesvote",
58889,thecountyclub,The County Club,Private members club in the heart of Guildford,
58903,KarenonUX,🕷️⚫️ Karen Roles #rejoiner,,
58955,vegan_asshole_,Luke Thompson ⓥ,"23. Labour. MA student, Newcastle University Business School. Evertonian. https://t.co/nZ4nd2Bm2y…",
58981,rastahill,Graham Cook,"Husband, father. X Deputy CX Reigate & Banstead BC. Now a freelance  leading complex projects. Lay Member East Sussex Safeguarding Children Partnership.",
59005,PercyBlakeney63,Andy Payne,"@JustFlight Gambling Commission BAFTA Patron @GoodShepherdEnt, Creative Industries Fed, VP @SpecialEffect Chair @British_Esports @animalfarmgame @nvmuk trustee",
59078,hilsofhove,Hils,"Animal carer extraordinaire. Friends,Frasier,Flog It! fan(atic). Love animals,antiques,music(als),theatre. Detest cruelty,ignorance & bad manners. Lurchered.",
59264,BR8228,George Brown,Marketing student at Derby University,
59424,Tory_Tortoise,Tory Tortoise,I'm a dandelion-loving Strong & Stable Tortoise,
59437,_MiltonKeynes,About Milton Keynes 🎈💚,"🏆Award winning🏆 #MiltonKeynes ℹinformation website, 🎡#MiltonKeynesEvents and more!",
59475,NorthOxonTories,North Oxfordshire Conservatives,"North Oxfordshire Conservative Party covering Banbury, Bicester and the villages of North Oxfordshire. RTs are not necessarily endorsements.",
59566,Angelolz87,Angela,Editor of The Luffington Post,
59679,mndassoc,MND Association,Our vision is a world free from motor neurone disease https://t.co/RbmXabZ8el #MND,
59716,JCadeCirca1450,The People's Jack Cade Esq. 🇬🇧,"Putting the Great back into Britain.🇬🇧 
R/Ts are not necessarily endorsements but, Look at This.",
59734,moranbuzz,Paul Moran,Beekeeper and photographer,
59768,GhostDark10,Ghost Dark,love video games,
59770,nihonzaijuu,M rosemarymerissalemonberm,特定の国や政治、宗教、企業、如何なる暴力団体、差別主義、LGBT活動と無関係です。,
59772,isthisab0t,McBOT,This is a retweet B0T   ¦    Retweets are obvsly no endorsements 👍   ¦    NATO linked think tanks take note?,
59836,CarolineLawler1,Caroline Lawler,,
59926,williams_jdavid,David Williams,Leader of Hertfordshire County Council @Hertscc and Chairman of the County Councils Network @CCNOffice. Views are my own.,
59972,thx311,tom evans,Bibliomaniac,
59982,redflag3rd,Eunice Somers,"Proud left winger , commited to a Labour victory  sooner rather later",
60032,dunmorej,James Dunmore,"Dad to 2 lovely girls. Marathon runner and fitness enthusiast. Software Development Manager at Alexa Shopping, Season ticket @Arsenal  View are all my own etc.",
60050,michaelkeegan14,Michael Keegan,"Businessman, Investor and MA War Studies postgraduate at Kings College London. All views are my own.",
60134,EddieTofpik,Eddie Tofpik,"Head of Technical Analysis & Senior Market Analyst. Director, Mormon, Husband & Father, Visiting Lecturer, Indie film Producer. Cosplayer. Own Tweets unless RT",
60147,PasionariaUK,E. Thompson,"Testiculi ad Brexitam. Proud citizen of everywhere #NoPasarán
🇪🇺🇬🇧🇧🇪🇧🇷🇵🇹🇮🇷🇰🇪🇨🇷🇪🇸🇦🇷🇪🇹🇫🇮🇹🇭🇨🇳🏳️‍🌈",
60159,AboutEG,About East Grinstead,"This is the independent Twitter account for all who care about the landscape, history and community of East Grinstead.

AboutEGR@Gmail.com",
60202,WalkOn38768697,WalkOn,,
60206,GoGoCantina86,GoGoCantina86,,
60239,ASWatkins,Cllr Aaron Watkins,Conservative Councillor for Corringham & Fobbing and Portfolio Holder for Environment. Proud to live and serve in the area I love! West Ham & East Thurrock Fan,
60262,matthewminikin,Matthew Minikin,northerner & fed up. tolerating perpetual hangovers whilst studying geography @QMUL. supporting @TeamNandy! weird us politics geek. #KHive forever and always x,
60276,sxybio,DrColinW🔶#Rejoin #Article49,"Protein biochemist, Planetary Society, EuroFederalist, #LibDem extremist @ALDEParty member. Probably a simulation. #Tryptophan is my favourite amino acid.",
60287,GirgisWesam,Wesam Girgis,sporty person,
60306,JEL222,Otar (Otto) Sanodze,"Trying to learn from people who have seen and done more than I have, regardless their gender, ethnicity, age...",
60309,justinionn,Justin I'Onn 🔶,Liberal Democrat. Centrist. Boltonian.,
60328,JoanneG32279077,Joanne Gardner,"I’m Jo, Lib Dem Cllr, 57, married to Dan. We have 2 cats & lots of lovely friends & family. I love food, football & travelling to nice places. 💛💙",
60351,PaulBegbie,Paul Begbie,,
60383,CuriousLearner2,Curious Learner,,
60390,DeniseT01,Denise Turner,"Senior Lecturer with track record & expertise in death/dying/digital practice. Bk on sudden,unexpected child death: https://t.co/y8rt8UJDvX Tweets personal",
60566,LambethLibDems,🔶Lambeth Lib Dems🔶,"Fighting for a more open, tolerant and united London Borough of Lambeth. #RethinkingLambeth (DMs open) #FBPE",
60577,tonybrett,Tony Brett,Director of @UniofOxford @MedSci_IT.  Member of @StCURC and lay preacher. Cyclist and allotmenter. LGBT+ role model. All views expressed my own.,
60623,Selkie,Thais Portilho,Criminology & AI PhD @uniofleicester researching use of ML to diagnose mental health conditions in prisoners + AI ethics. PR consultant. Mother. Hockey player,
60630,patmeunier82,Patrick Meunier,"Train brake engineer, husband and father.",
60670,CharlotDearling,Louise Johnson,Ian Murray for Deputy Labour Leader.,
60712,Mysturji,🖤Mysturji #WeToldYouSo #FBPE🕯️ 🎪🇨🇦🇪🇺,"#Rejoiner #BrexitIsTreason #OwnYourShit #WeToldYouSo #ResistUK Anti-Brexit, Anti-Trump. Warning: I swear. Bots, trolls & ‘Nistas blocked on sight.",
60720,sirstan74,Dan 🔶️ #FBPE 🇬🇧🇪🇺🇺🇸,"Forest fan, liberal🔸️, and married to an American. Felt at home in the EU. Ultra-Remainer according to Owen Jones.
#FBPE",
60760,ma499,Mustafa Arif,"Chief Engineer @Aqovia: SDN, microservices, analytics and Cloud orchestration. CTO @neuerenergy. Former Chair @london_cycling. Lapsed campaigner. Own views.",
60769,tweetbeek,C Theworld,,
60812,layanglicana,Laura Sykes,"Liberal Democrat, Green Liberal Democrat, Internationalist, Europhile, #SardinesUK, Author, Ratiocinativa, #FBPE #FacciamoRete FRGS",
60820,arranangus,Arran Angus 🔶️ #FBPE,"Lib Dem campaigner for Waltham Forest. Chair Grove Green SNT ward panel. campaigner and researcher for Citizens Advice. 
Tweets personal views.",
60828,SallyShuttle,@sallyshuttle 🍌,,
60853,mattjmclaren,Matt McLaren,"Executive Recruiter / Headhunter for Professional Services, Financial Services, & NGOs. @LibDems & @EnfieldLiberal supporter. Views my own. Retweet≠endorsement",
60880,clivingsbkk,Carol Livingston ✍️,"@Ewarren is the best candidate, but I'll work hard for any Democrat who takes the nomination.",
60899,MorwenMillson,Morwen Millson 🔶#People'svote,Liberal Democrat councillor and activist,
60923,MaruiNeko33,Fuming Soufflé #RejoinEU #FBPE🇪🇺🇬🇧🇯🇵,Getting angrier by the day - bubbling over the edge of the ramekin 😤 Never Gonna Give ⭐️EU⭐️Up 🤓🐾,
60931,EarlsCourtCat1,Earl’s Court Cat,Working Cat formerly employed by Earl’s Court Exhibition Centre . I was made homeless by its destruction. I go back sometimes but large dogs are uncongenial.,
60933,Galviam,Mark Galvin -🇬🇧🇪🇺🔶#FPBE,"Automotive Manufacture, Design and Management recently retired. I have an acute loathing of liars and bullies or those who manipulate the truth.",
60940,GunnerStifler,Paul,,
60959,LCinNW,Linda Chung ,"Former Hampstead councillor, active in community and environmental issues. Forever learning. There is cohesive society.",
60979,suehard,Sue in the Yard! #HoldThemToAccount,"RGN, BSc, MSc Psychology. #RightToPeacefulProtest #SODEM #FBPE",
60987,blackrepublican,BLACK CONSERVATIVE,"Authentic #blackconservatism has always had the fundamental and explicit goal of opposing white supremacy.

— Kareim Oliphant

#BlackConservative",
61162,ButteryBrain,Butterfly Brain 🏳️‍🌈🔶🇪🇺,"Food, flowers, forests and ferns, trains and travelling, gay and married, lover of London, citizen of the world, socialist tendencies, runner and remainer.",
61208,mickhumph,Mick Humphreys,Liberal. Activist for Anyone's Child @anyoneschild,
61214,GarethOW_LibDem,Gareth O-W Liberal Democrat🔶️,"Representing Jarvis Brook on Crowborough and Wealden councils.
Please email me at Gareth.OW.LibDems@gmail.com with concerns.
Details at https://t.co/lt0GzYOAgq",
61298,d_lwhite67,Danielle White,,
61320,lucening,Lucening,,
61354,johngrant37,john grant,"Retired from NHS, priest, Holistic Therapist & Masseur, Liberal Democrat, Leyton Orient fan",
61455,PVoteWitney,People's Vote Witney #FBPE,People's Vote Witney group,
61485,janiebear,Jane Gould BCAi,"Founded Clean Sheet. #justice #Spanish #EscuelaOficialDeIdiomas 🕷#UnitetoRejoin Married to Nick. 3 doglets. Play flute, cello & sing. Quo, Quo and Led Zep.",
61497,kevjmclaughlin,Kevin McLaughlin #FBPE.,"🇪🇺🇮🇪🇬🇧#AVFC ST Holte end with my family. Politically homeless, love travel, Sunshine & the odd beer. 5th year Elec vehicle & 7th year Solar.",
61502,lucafiderio,Luca Fiderio,"My name is Luca and, yes, I once lived on the second floor. My ambition? Just to understand absolutely everything, that's all. (views ma own y'all)",
61509,helenamayb,Gytha Ogg #resist 🕯🐟 #notmypm🎪🕷,Copyeditor and proofreader so no excuse for typos. Proud remainer #proEU #FBPE. Globally politically aware than ever was before. Have. Never. Voted. Tory,
61516,rohaniroop,Ronnie,"Hard working,proud Canadian woman.Have common sense smarts,love to laugh,hates BS. News Entertainment News Hockey Local News",
61548,jameshvbarker,James Barker Esq,Pilot and NCFC fan,
61608,LeavingPlanet,What's Left (of the Planet),🇬🇧🇪🇺⧖Multilingual liberal IR expert. Messiahs used to go into the desert to test their fantasy. Now they just domestically abuse their voters into line.,
61642,Neil_Christian,Neil Christian 🔶️,British 🇬🇧 European 🇪🇺 @LibDems 🔶️. ❤ & 🔃 are not necessarily endorsements or support.,
61666,dinningtoncalls,Liz Broadbent #Reform #Rejoin,"Somerset, family and friends. Life with music, poetry and drama
Omnia Feminae Aequissimae",
61669,JanWildman,Janet Wildman,"None of anyone else's business, but I can use apostrophes.",
61759,Diogo53341322,DP,,
61762,leonminster,Christopher Campbell,"born 1941, educated Taunton's School Southampton & Birmingham University. RT = understood: no more no less.",
61807,valvebender,Frank Havard,"Left of centre (but not silly left). Wanted electable Labour party, but as they're Brexit enablers I've joined the Lib Dems. Still a Remainer!",
61836,TroyWil1234,Troy Wilson,,
61911,andyS_64,Proud EU citizen. Always. 🐟 🇪🇺,In a functioning democracy it’s OK to change your mind — but we don’t have a functioning democracy. .lll.,
61940,jan_norfee,Jan North,"Living a creative life in Suffolk: spinning, knitting, dyeing, cooking, walking, reading and making time for friends and conversation. Remainer",
61971,ashleypnicholas,Ashley Nicholas,,
61985,lilyk1000,lilyk,local councillor. potty about animals. Fiercely fair #reunion,
62015,swhiteside,Ṣiṃoṅ Whitểside ✝️ 🕷️,"Music lover, code monkey, dog walker, Ordinand, Christian. ""I have engraved you on the palms of my hands; your walls are ever before me."" Isaiah 49:16",
62059,DeakinVictoria,Victoria Deakin,,
62068,baker_sarahlou,Sarah_B,50+ & divorced 🙌I love a good read 📚enjoy walking 👣👟 and love holiday's🌞😎,
62125,hkh_uk,HollieH 🔶,"Working mum, aka Olympic level multi-tasker permanently running 10 minutes late",
62192,surreyhillock1,Steve Keen,"Passionate for democracy, accountability & honesty - deeply worried by Brexit impact on future generations. Recently converted to grumpy old git.",
62209,jane_monckton,Jane Monckton,"A happy go lucky member of @SteepleTimes team. I enjoy champagne, life and lovely friends.",
62339,TimMorton2,(((Tim Morton))),"Social housing, Tenants, climate change, cycling, feminism, diversity, disability, one world, training, humour, social investment, neighbourhoods, community",
62376,pipp001,pam,"I'm a mum & a nan, I enjoy listening to music, reading (with the odd glass of wine & bar of chocolate) I like peace & harmony ♥ live & let live ♥",
62410,confusedmiked,mike dee #FBPE,London based global traveller,
62422,DaRC_Fantom,Dave Legg,"Gewessi Druid & wandering cyclist of great off road trails, voyeur of fine road racing and mid-core gamer.   Family cook & gardener with a beer fetish.",
62440,ShellyR055,Shelly Ross 🔶,,
62449,dontcancelmeth1,dontcancelmethistime,"⚫️🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿🔶🏳️‍🌈🇪🇺 🕷 FBPE5000 LibDem. English, Gay. Married. Europe lover. Terrified of, and detest Brexit. Flirt!",
62498,RuthMcCann8,Ruth McCann #FBPE #GetBorisGone 🇪🇺#Rejoin🕷🐟,#GetBorisGone #Sardines #facciamorete #ForeverEuroean,
62504,EUnotCoup,#FBPE England is lost. Regroup & support #indyref2,"Londoner. Now lodged in a 3rd country. 
Supporting https://t.co/t1bH1AckxF #indyref2, https://t.co/YtvHdTdvNA & https://t.co/zxlIKXkR7S, #FBIR. Tha an ùine air tighinn.",
62512,staxis,Mr Greg Wright 🔶🇪🇺,"Bike riding, wine swilling, cheese munching, coffee guzzling Europhile. #FBPE #BrexitIsACrimeScene #RejoinEU 🇪🇺 🇬🇧 🇿🇦 🇳🇦 🇫🇷 🇩🇪 🇪🇸 🇦🇹 🇨🇭",
62513,njc99,DoubleHelixGirl 🇪🇺,Curious about science. Horrified about Brexit. RT's are not necessarily endorsement. Views are my own.,
62514,realpaolathomas,Paola Thomas #FBPE #RejoinEU #Breturn 🇪🇺🇬🇧🇺🇸,"Passionate food photographer, food writer, recipe developer | just returned to UK after 13 years in Seattle. My Twitter has devolved into political rantings..",
62523,droonie,Andrew Palmer,"Father of two, other half of Av, all my views are my own",
62539,panamadip,Oxted Man #FBPE 🕷🎪 🖤#peoplesvote,"🔶#DeeplyUnhelpful #queuejumper EU Citizen. Oxted means Oxted. Just in: Doubter, Gloomster & Doomster, though definitely not a ‘True believer’. 🔶",
62563,Demimaderek,Demimaderek #FBPE,"liberal, bloody minded, retired old fart, proud Remoaner who will not give in",
62578,ChalfontStGiles,Bill Horton #FBPE #rejoinEU 🇪🇺🇫🇷🇪🇺,"Dad, Grandad, cyclist, European (still) & Francophile.
We are governed by liars, charlatans, tax-dodgers and cheats. 
Fighting to #rejoinEU",
62648,Mostropovich,Giorgio Cuppini,Drumming for Christ and speaking in sticks.,
62678,sightwriter,H,Work with factual stories for film and tv. Am fascinated by the turbulent times we live in.,
62701,paulscolari,PAS FBPE,What the hell is going on?,
62717,DfsStubbs,donnys,"Sunday draughtsman, based in Cambridge, UK.",
62754,TheAtomicCat,Colin Carey 🇪🇺⚫,Cycling Music Guitar Photography. E.U. stronger together,
62774,peterwburrows,Peter Burrows,"Chair Seaton & District Lib-Dems 'gooner'
3 x Mayor of lovely Seaton
Community Lead plastic free Seaton Devon
Christian, Verger",
62781,JohnLWalmsley,John Walmsley #FBPE 🔸🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🇪🇺,Need to stop the Tory destruction of Britain for #brexit. Joined @LibDems 2017. Sports tweets on @walmsleysport. Loves exploring new places & books. Views own,
62791,Matthew17427983,Matthew Clark,,
62841,robert51edwards,Robert Edwards #FBPE,"Europhile, love and value my EU citizenship, please let me keep it. EU is a force for peace & co-operation. Brexit was a big mistake and will not turn out well",
62895,MichaelBukola,Michael Bukola 🔶🇬🇧🇳🇬🇪🇺,"Branch Chair of @IWGBSec, @LibDems London Assembly List Candidate follower of @liberalinternat @LDCRE1 @AfricanLiberals @WFD_Democracy",
62905,SueCollis,Sue Collis 🕷 🔶🇪🇺🇬🇧,I always felt at home in the EU. All opinions my own. Retweets not necessarily endorsements.,
62935,davstir,David Stirling #FBPE,Stop Brexit,
62980,PwCLondon,PwC in London,"Our ambition is to create value for our city, people and clients by helping to solve the problems London faces. We are passionate about London.",
62995,HarrisonCentre,Harrison Centre,The Harrison Centre for Social Mobility. Unlocking the potential of the next generation.,
63078,WormaldLiz,Elizabeth 😍,"Supporting advocating in Mental health ,Girls with Autism, childhood obesity, Travelling places reporting for disability access 
MH support worker.",
63102,mrs_wints,Mama2theBea 🐝,Happy Mama and Wife to the Grumpy One ♥️ Proud RN Veteran and Armed Forces Supporter ⚓️,
63145,Aaron_M_1998,Aaron Marchant,,
63254,__Eleanor__J,Eleanor,,
63421,ritot11,Rchard Totten,,
63467,Aristar95595730,Aristarchus🏛️,Observer of human nature,
63621,HelenRMatthews,Helen 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧 #Britishindependence,"#CSA survivor (pls watch my pinned tweet🙏) 
One of the 17.4 million 🎉 31/01/2020 🎉 #Brexit #freespeech #WeareallTommy
On the right of centre

💢NO DM's pls💢",
63622,CABear24,Catherine,All opinions my own. Of course.,
63760,StephenROBrien,Rt. Hon. Sir Stephen R O'Brien KBE,ex-@UNReliefChief-myTweets till31/8/17;exDFIDMinister+MP+industrialist+lawyer. Chmn Motability/IVCC malaria; VC SavannahPetroleum; NED Dept4IntTrade;consultancy,
63796,saatch1,Saatch1,Servus servorum Dei.,
63797,luke_myer,Luke Myer,"@QAAtweets resident Teessider, knitwear fan & full-time nerd ‧ also do digital stuff @LabGND ‧ always hopeful 🌹🏳️‍🌈",
63800,SamCocking,Sam Cocking,"Structural engineering PhD student, interested in old bridges and new sensors. Mostly a personal account. He/him.",
63871,BBCAlicia,Alicia M,BBC Parliamentary presenter.   08:30 Mondays.... and weeknights on BBC Parliament at 11pm.,
63879,warwickmansell,Warwick Mansell,"Freelance education journalist.Founder of ed news website Education Uncovered. Long-time Guardian, Obs contributor. Blogger for Prospect union, NEU teacher mag.",
63897,Mahojo5,Mahojo,It's T not tea. If you think it's tea you're basic and behind the curve.,
64031,StandUpToCorbyn,StandUpToJeremyCorbyn,Support #privateschools and stand up to Jeremy Corbyn's disastrous policies,
64075,CFArmedForces,Conservative Friends of the Armed Forces,"The @conservatives group for veterans, reserves, regulars and all who support the men & women of our armed forces.",
64103,dcolgan1,Dom107,"Fulham fan,astronomy geek and music lover",
64111,centristdog,centrist dog,,
64195,Timvince79,Tim vice,,
64239,joeholmeswriter,Joe Holmes,"Author and Poet of Healed By Creation, Songwriter and Writer. ✨
✍️ Stops in the middle of the pavement to note down ideas ⚡📲🌟. Kindness rules all 👑",
64528,ClaireStoneman,Claire Stoneman,"Enable Law - Partner. Expertise in birth & brain injury, stillbirth & neonatal death. Member of Sands. Aching Arms volunteer. AvMA & Law Society panel member.",
64789,TeamWillQuince,Will Quince your MP until 2024,A fan club dedicated to the most hardworking MP in the UK (if not the World). Was re-elected by the awesome people of Colchester with an increased majority.,
64810,tobae666,ヒロミ@今頃FANBOXとBOOTH始めました,BLマンガ家（今商業の仕事入れていませんが）、成人済み推奨、二次は雑食型　タイバニ（兎虎）ジョジョ（承花・右承）　★fanbox  下記参照　★BOOTH　https://t.co/FZEhvlu8ad　★ https://t.co/yMs1iSM3qX…　★象　@tobae_uni@pawoo.net　,
64969,LoveGB_United,Gill.Barking🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧,"I am a Londoner and West Ham fan, we go back generations. Brexiteer - voted out in 1975 at 19 yrs old and still want out ♥️GB 🇬🇧⚒",
65052,Duncan_Burdorf,Duncan Burdorf,Unencumbered tie-loathing magnanimous who suffers from sesquipedalianism ;-) Post ACME!,
65060,mariebudgie1,Marie,"#LFC #YNWA always, loveTom Hanks George Clooney Bette Davis Clint Eastwood, Musical's NO S*N I have zero time for nasty people ❤NYC Winnie the Pooh",
65114,trphilpott,Tom Philpott,"Ex-Head of Comms @theNSN, now running my own firm. Former @Conservatives Councillor. Slowly working out how to be a Dad. RTs not approvals etc",
65152,ShallowfriedMal,ShallowFried_Mal 😏 Let's #MBGA 🇬🇧💪✌️👍,"#Brexiteer & #Democracy supporter 🇬🇧
Big @LFC #Liverpool fan 👓 💪
Love ⚽🏉🏈🏌️‍♂️⛳ #Atheist 😏
I must learn to behave better on here 😏",
65218,UniMatureStudy,Uni Mature Study,"Started this as mature students' resource whilst I was one.
 @LynnCherylEde #Writer, #artist 
Enjoy #history #art #genealogy 
Insta: @lachartgallery",
65254,2deKamerFVD,FvD lid 🚜,"Ondersteunend account die FVD-ers en PVV-ers wil samenbrengen ! Tweets worden verzorgd door ons media-team. 
Vriend van Dr Gert Jan Mulder en  @2dekamerpvv",
65347,HumphreyintheUK,David Elms,"I am a British man in my forties, living in the UK. I use this account to bookmark tweets about current affairs and politics. Retweets are not an endorsement.",
65471,JaiSanton,Jai Tabasco,,
65534,kirkspence17,Kirk,,
65579,bluemoogs,moogie,"""If liberty means anything at all, it means the right to tell people what they do not want to hear""

George Orwell",
65602,cr8856,CR8856,,
65622,RedHawk9999,Red Hawk,#Trump #MAGA Free #Balochistan #Kurdistan,
65901,Ricardo94206375,RicardoMendes,#criminalizacomunismo,
65911,osamaelsayed14,Oussama Alseed,"INFJ-T acc. to (MBTI), Omnivore, Arab, rebellious, non-conformist, HAM radio enthiusiast.",
65916,one_nation_tory,🇬🇧 Conservatives 🌀,Conservative. Brexiteer. Proud to be British. Love UK. Fan of Churchill and Thatcher. Patriot. Royalist. Militarist. Unionist. Great Britain. Britain is GREAT.,
66313,judithozer,judith ozer,wales rugby after party,
66365,votetory2020,Conservatives for Barking,Vote Conservative to move Britain forward.,
66595,yvonnenorth,Yvonne North,". , Mother to seven, Self -employed and Methodist,married to Anthony North (writer)",
66600,Lanc1925,Ian,"All the good things in life,traditional English values treat all animals with the same respect and love you would any human and vote Conservative!",
66672,TallyPendragon,Tally FaithfulQnicorn Pendragon,Medieval Archaeologist and Historian writing fantasy historical thrillers. Warning: my books may contain nuts - aka archaeologists and historians - and wizards!,
66674,LeviCrook,Levi,"Proud Conservative member. Currently studying Biology, Chemistry and Music at Coleg Gwent. Prospective County Council Candidate for Pontllanfraith.",
66687,FOR3VERJIGGA,JIGGA,//PROUD JEW//NO KIDs,
66702,lochlaidon,harry vernon,retired stockbroker. born in Bolton. love Scotland. Spectator reader.dreadfully right wing but think I am fair minded ...hope I am.,
66721,PippaGreen1,Red white and blue,100% fair minded.  Brexit for Britain & the rights of 17.4million ongoing.,
66730,Whitby_Con_Club,Whitby Con Club,Welcome to the twitter page of the Whitby Conservative Club. All the latest news and updates will be found on here.,
66798,pasarell1836,"Richard, we have left the EU, now WTO terms.","I am a great fan of Manchester City, love tennis, lived in Orlando and now Lincoln UK, back Boris, he could/will be good for the UK, love history, travel, girls",
66801,CLMiddleton,Charles,.,
66837,Roberts55961264,Robert smith,,
66842,ProtecttheFaith,Nick Donnelly,"Salvation of souls. Nothing else matters.  Husband, father to Gabriel & Ariel, deacon. Confess Faith in time of heresy. Antisemitism/Holocaust denial blocked",
66912,Bobgboro,Robert Glassborow,,
66985,JohnErikWagner,John Erik Hartung Wagner,"Jeg vil sætte pensionsalderen ned til 50 år. Fordi det er bedre at ha raske mennesker på pension end syge. 
Jeg vil stoppe gratis arbejdskraft i Danmark #FV19",
67017,Charli3dog,Charli3dog,"Old English Sheepdogs. LONDON. Love fun + games. Swimming, pub lunches, bacon, cafe breakfasts. Driving, flying, seaside days out with friends. Chelsea is Life.",
67066,Saibot0408,Saibot Steinbot 🇦🇹🇬🇷,"Based Austrian Activis who believes in National Conservatism, Reforming the EU, Conservationism and the 5 point plan. #IStandWithGreece 🇬🇷 #niewieder2015",
67144,parkinson8bn,Ian Parkinson,,
67189,HackettNicholas,nicholas hackett,"Dip.Arch Designer and Creator, aeronautics, met, glider pilot, some languages, xenophile brexiteer, Aspenite",
